[rosmaster.main][INFO] 2024-01-14 20:40:51,836: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-01-14 20:40:51,836: Starting ROS Master Node
[xmlrpc][INFO] 2024-01-14 20:40:51,837: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-01-14 20:40:51,837: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2024-01-14 20:40:51,837: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-01-14 20:40:51,837: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2024-01-14 20:40:51,930: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:40:51,931: +PARAM [/roslaunch/uris/host_localhost__37113] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:40:51,972: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:40:51,972: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:40:51,979: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36533/
[rosmaster.master][INFO] 2024-01-14 20:40:51,980: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36533/
[rosmaster.master][INFO] 2024-01-14 20:40:51,980: +PUB [/rosout_agg] /rosout http://localhost:36533/
[rosmaster.master][INFO] 2024-01-14 20:40:51,981: +SUB [/rosout] /rosout http://localhost:36533/
[rosmaster.master][INFO] 2024-01-14 20:40:52,071: +PUB [/rosout] /rvizvisualisation http://localhost:34761/
[rosmaster.master][INFO] 2024-01-14 20:40:52,071: +SERVICE [/rvizvisualisation/get_loggers] /rvizvisualisation http://localhost:34761/
[rosmaster.master][INFO] 2024-01-14 20:40:52,071: +SERVICE [/rvizvisualisation/set_logger_level] /rvizvisualisation http://localhost:34761/
[rosmaster.master][INFO] 2024-01-14 20:40:52,072: +CACHEDPARAM [/rosout_disable_topics_generation] by /rvizvisualisation
[rosmaster.master][INFO] 2024-01-14 20:40:52,137: publisherUpdate[/rosout] -> http://localhost:36533/ ['http://localhost:34761/']
