[rosmaster.main][INFO] 2023-09-01 11:47:13,811: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-01 11:47:13,811: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-01 11:47:13,812: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2023-09-01 11:47:13,812: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2023-09-01 11:47:13,812: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-01 11:47:13,812: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2023-09-01 11:47:13,896: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-01 11:47:13,898: +PARAM [/roslaunch/uris/host_localhost__40203] by /roslaunch
[rosmaster.master][INFO] 2023-09-01 11:47:13,954: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-09-01 11:47:13,954: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-09-01 11:47:13,972: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43009/
[rosmaster.master][INFO] 2023-09-01 11:47:13,972: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43009/
[rosmaster.master][INFO] 2023-09-01 11:47:13,972: +PUB [/rosout_agg] /rosout http://localhost:43009/
[rosmaster.master][INFO] 2023-09-01 11:47:13,973: +SUB [/rosout] /rosout http://localhost:43009/
[rosmaster.master][INFO] 2023-09-01 11:47:14,126: +PUB [/rosout] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,127: +SERVICE [/rvizvisualisation/get_loggers] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,127: +SERVICE [/rvizvisualisation/set_logger_level] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,127: +CACHEDPARAM [/rosout_disable_topics_generation] by /rvizvisualisation
[rosmaster.master][INFO] 2023-09-01 11:47:14,212: publisherUpdate[/rosout] -> http://localhost:43009/ ['http://localhost:39325/']
[rosmaster.master][INFO] 2023-09-01 11:47:14,215: publisherUpdate[/rosout] -> http://localhost:43009/ ['http://localhost:39325/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-09-01 11:47:14,297: +SUB [/tf] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,298: +SUB [/tf_static] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,326: +PUB [/initialpose] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,327: +PUB [/goal] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,334: +SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,335: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,335: -SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,335: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,336: +SUB [/odom_visualization_7/robot] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,336: +SUB [/odom_visualization_7/robot_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,336: +SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,337: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,337: -SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,337: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,338: +SUB [/planning/travel_traj_10] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,338: +SUB [/planning/travel_traj_10_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,339: +SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,339: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,339: -SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,339: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,340: +SUB [/planning/travel_traj_5] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,340: +SUB [/planning/travel_traj_5_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,341: +SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,341: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,341: -SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,341: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,342: +SUB [/planning/travel_traj_9] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,342: +SUB [/planning/travel_traj_9_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,343: +SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,343: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,343: -SUB [/visualization_marker] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,343: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:39325/
[rosmaster.master][INFO] 2023-09-01 11:47:14,344: +SUB [/planning/travel_traj_6] /rvizvisualisation http://localhost:39325/
