[rosmaster.main][INFO] 2023-08-31 17:49:10,426: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-08-31 17:49:10,426: Starting ROS Master Node
[xmlrpc][INFO] 2023-08-31 17:49:10,427: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2023-08-31 17:49:10,427: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2023-08-31 17:49:10,427: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-08-31 17:49:10,427: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2023-08-31 17:49:10,517: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-08-31 17:49:10,517: +PARAM [/roslaunch/uris/host_localhost__38993] by /roslaunch
[rosmaster.master][INFO] 2023-08-31 17:49:10,560: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-08-31 17:49:10,560: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-08-31 17:49:10,568: +SERVICE [/rosout/get_loggers] /rosout http://localhost:46299/
[rosmaster.master][INFO] 2023-08-31 17:49:10,568: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:46299/
[rosmaster.master][INFO] 2023-08-31 17:49:10,569: +PUB [/rosout_agg] /rosout http://localhost:46299/
[rosmaster.master][INFO] 2023-08-31 17:49:10,570: +SUB [/rosout] /rosout http://localhost:46299/
[rosmaster.master][INFO] 2023-08-31 17:49:10,660: +PUB [/rosout] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,660: +SERVICE [/rvizvisualisation/get_loggers] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,661: +SERVICE [/rvizvisualisation/set_logger_level] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,661: +CACHEDPARAM [/rosout_disable_topics_generation] by /rvizvisualisation
[rosmaster.master][INFO] 2023-08-31 17:49:10,727: publisherUpdate[/rosout] -> http://localhost:46299/ ['http://localhost:41117/']
[rosmaster.master][INFO] 2023-08-31 17:49:10,729: publisherUpdate[/rosout] -> http://localhost:46299/ ['http://localhost:41117/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-08-31 17:49:10,816: +SUB [/tf] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,817: +SUB [/tf_static] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,837: +PUB [/initialpose] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,837: +PUB [/goal] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,845: +SUB [/sdf_map/occupancy_all_1] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,847: +SUB [/sdf_map/unknown_1] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,851: +SUB [/sdf_map/esdf] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,853: +SUB [/multi_map_manager/cloud1] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,853: -SUB [/multi_map_manager/cloud1] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,854: +SUB [/multi_map_manager/cloud1] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,935: +SUB [/map_generator/global_cloud] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,936: +SUB [/visualization_marker] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,937: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,938: -SUB [/visualization_marker] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,938: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,939: +SUB [/odom_visualization_4/robot] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,939: +SUB [/odom_visualization_4/robot_array] /rvizvisualisation http://localhost:41117/
[rosmaster.master][INFO] 2023-08-31 17:49:10,940: +SUB [/visualization_marker] /rvizvisualisation http://localhost:41117/
