[rosmaster.main][INFO] 2024-01-14 20:51:59,564: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-01-14 20:51:59,564: Starting ROS Master Node
[xmlrpc][INFO] 2024-01-14 20:51:59,565: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-01-14 20:51:59,565: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2024-01-14 20:51:59,566: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-01-14 20:51:59,566: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2024-01-14 20:51:59,658: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:51:59,659: +PARAM [/roslaunch/uris/host_localhost__40501] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:51:59,701: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:51:59,701: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:51:59,708: +SERVICE [/rosout/get_loggers] /rosout http://localhost:33993/
[rosmaster.master][INFO] 2024-01-14 20:51:59,709: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:33993/
[rosmaster.master][INFO] 2024-01-14 20:51:59,710: +PUB [/rosout_agg] /rosout http://localhost:33993/
[rosmaster.master][INFO] 2024-01-14 20:51:59,711: +SUB [/rosout] /rosout http://localhost:33993/
[rosmaster.master][INFO] 2024-01-14 20:51:59,796: +PUB [/rosout] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,796: +SERVICE [/rvizvisualisation/get_loggers] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,797: +SERVICE [/rvizvisualisation/set_logger_level] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,797: +CACHEDPARAM [/rosout_disable_topics_generation] by /rvizvisualisation
[rosmaster.master][INFO] 2024-01-14 20:51:59,865: publisherUpdate[/rosout] -> http://localhost:33993/ ['http://localhost:46513/']
[rosmaster.master][INFO] 2024-01-14 20:51:59,870: publisherUpdate[/rosout] -> http://localhost:33993/ ['http://localhost:46513/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-01-14 20:51:59,954: +SUB [/tf] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,954: +SUB [/tf_static] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,978: +PUB [/initialpose] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,979: +PUB [/goal] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,988: +SUB [/multi_map_manager/cloud1] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,989: -SUB [/multi_map_manager/cloud1] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,989: +SUB [/multi_map_manager/cloud1] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:51:59,990: +SUB [/sdf_map/esdf] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,065: +SUB [/sdf_map/unknown_1] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,066: +SUB [/sdf_map/occupancy_all_1] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,068: +SUB [/visualization_marker] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,069: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,069: -SUB [/visualization_marker] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,069: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:46513/
[rosmaster.master][INFO] 2024-01-14 20:52:00,070: +SUB [/planning/position_cmd_vis_6] /rvizvisualisation http://localhost:46513/
