[rosmaster.main][INFO] 2024-01-14 20:39:39,718: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-01-14 20:39:39,718: Starting ROS Master Node
[xmlrpc][INFO] 2024-01-14 20:39:39,718: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-01-14 20:39:39,719: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2024-01-14 20:39:39,719: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2024-01-14 20:39:39,719: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-01-14 20:39:39,801: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:39:39,801: +PARAM [/roslaunch/uris/host_localhost__42757] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:39:39,848: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:39:39,848: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-01-14 20:39:39,856: +SERVICE [/rosout/get_loggers] /rosout http://localhost:42121/
[rosmaster.master][INFO] 2024-01-14 20:39:39,856: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:42121/
[rosmaster.master][INFO] 2024-01-14 20:39:39,857: +PUB [/rosout_agg] /rosout http://localhost:42121/
[rosmaster.master][INFO] 2024-01-14 20:39:39,857: +SUB [/rosout] /rosout http://localhost:42121/
[rosmaster.master][INFO] 2024-01-14 20:39:39,951: +PUB [/rosout] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:39,952: +SERVICE [/rvizvisualisation/get_loggers] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:39,952: +SERVICE [/rvizvisualisation/set_logger_level] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:39,952: +CACHEDPARAM [/rosout_disable_topics_generation] by /rvizvisualisation
[rosmaster.master][INFO] 2024-01-14 20:39:40,019: publisherUpdate[/rosout] -> http://localhost:42121/ ['http://localhost:44295/']
[rosmaster.master][INFO] 2024-01-14 20:39:40,021: publisherUpdate[/rosout] -> http://localhost:42121/ ['http://localhost:44295/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-01-14 20:39:40,112: +SUB [/tf] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,113: +SUB [/tf_static] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,132: +PUB [/initialpose] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,132: +PUB [/goal] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,139: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,140: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,140: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,140: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,141: +SUB [/planning/position_cmd_vis_8] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,142: +SUB [/planning/position_cmd_vis_8_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,142: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,143: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,143: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,143: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,144: +SUB [/planning/position_cmd_vis_10] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,144: +SUB [/planning/position_cmd_vis_10_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,145: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,145: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,146: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,146: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,146: +SUB [/planning/position_cmd_vis_9] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,147: +SUB [/planning/position_cmd_vis_9_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,147: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,148: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,148: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,148: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,148: +SUB [/planning/position_cmd_vis_6] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,149: +SUB [/planning/position_cmd_vis_6_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,149: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,150: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,150: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,150: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,151: +SUB [/planning/travel_traj_8] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,151: +SUB [/planning/travel_traj_8_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,152: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,152: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,152: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,152: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,153: +SUB [/planning/travel_traj_9] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,153: +SUB [/planning/travel_traj_9_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,154: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,154: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,155: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,155: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,155: +SUB [/odom_visualization_9/robot] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,156: +SUB [/odom_visualization_9/robot_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,156: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,157: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,157: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,157: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,158: +SUB [/planning/position_cmd_vis_5] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,158: +SUB [/planning/position_cmd_vis_5_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,159: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,159: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,159: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,159: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,160: +SUB [/odom_visualization_10/robot] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,160: +SUB [/odom_visualization_10/robot_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,161: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,162: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,162: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,162: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,162: +SUB [/planning/travel_traj_7] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,163: +SUB [/planning/travel_traj_7_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,164: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,164: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,164: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,164: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,165: +SUB [/planning/travel_traj_5] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,165: +SUB [/planning/travel_traj_5_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,166: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,166: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,167: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,167: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,167: +SUB [/planning/position_cmd_vis_7] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,168: +SUB [/planning/position_cmd_vis_7_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,168: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,169: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,169: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,169: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,169: +SUB [/odom_visualization_5/robot] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,170: +SUB [/odom_visualization_5/robot_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,171: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,172: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,172: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,172: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,172: +SUB [/planning/travel_traj_10] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,173: +SUB [/planning/travel_traj_10_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,174: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,174: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,174: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,175: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,175: +SUB [/odom_visualization_8/robot] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,176: +SUB [/odom_visualization_8/robot_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,176: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,177: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,177: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,177: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,178: +SUB [/odom_visualization_6/robot] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,178: +SUB [/odom_visualization_6/robot_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,179: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,179: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,180: -SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,180: -SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,180: +SUB [/odom_visualization_7/robot] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,181: +SUB [/odom_visualization_7/robot_array] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,181: +SUB [/visualization_marker] /rvizvisualisation http://localhost:44295/
[rosmaster.master][INFO] 2024-01-14 20:39:40,182: +SUB [/visualization_marker_array] /rvizvisualisation http://localhost:44295/
